"time","chair","vertical_feet","vertical_meters","year","month","day","time_of_day","date","pass_id"
"2008-12-14 10:12:00","Pine Marten",1367,416,2008,12,14,"10:12:00","2008-12-14","MBA6364803"
"2008-12-14 10:12:00","Pine Marten",1367,416,2008,12,14,"10:12:00","2008-12-14","MBA6364803"
"2008-12-14 10:43:00","Pine Marten",1367,416,2008,12,14,"10:43:00","2008-12-14","MBA6364803"
"2008-12-14 10:43:00","Pine Marten",1367,416,2008,12,14,"10:43:00","2008-12-14","MBA6364803"
"2008-12-14 11:14:00","Pine Marten",1367,416,2008,12,14,"11:14:00","2008-12-14","MBA6364803"
"2008-12-14 11:14:00","Pine Marten",1367,416,2008,12,14,"11:14:00","2008-12-14","MBA6364803"
"2008-12-14 11:39:00","Pine Marten",1367,416,2008,12,14,"11:39:00","2008-12-14","MBA6364803"
"2008-12-14 11:39:00","Pine Marten",1367,416,2008,12,14,"11:39:00","2008-12-14","MBA6364803"
"2008-12-14 12:08:00","Pine Marten",1367,416,2008,12,14,"12:08:00","2008-12-14","MBA6364803"
"2008-12-14 12:08:00","Pine Marten",1367,416,2008,12,14,"12:08:00","2008-12-14","MBA6364803"
"2008-12-14 12:26:00","Pine Marten",1367,416,2008,12,14,"12:26:00","2008-12-14","MBA6364803"
"2008-12-14 12:26:00","Pine Marten",1367,416,2008,12,14,"12:26:00","2008-12-14","MBA6364803"
"2008-12-20 09:18:00","Pine Marten",1367,416,2008,12,20,"09:18:00","2008-12-20","MBA6364803"
"2008-12-20 09:18:00","Pine Marten",1367,416,2008,12,20,"09:18:00","2008-12-20","MBA6364803"
"2008-12-20 09:38:00","Pine Marten",1367,416,2008,12,20,"09:38:00","2008-12-20","MBA6364803"
"2008-12-20 09:38:00","Pine Marten",1367,416,2008,12,20,"09:38:00","2008-12-20","MBA6364803"
"2008-12-20 10:04:00","Sunrise",808,246,2008,12,20,"10:04:00","2008-12-20","MBA6364803"
"2008-12-20 10:04:00","Sunrise",808,246,2008,12,20,"10:04:00","2008-12-20","MBA6364803"
"2008-12-20 10:35:00","Pine Marten",1367,416,2008,12,20,"10:35:00","2008-12-20","MBA6364803"
"2008-12-20 10:35:00","Pine Marten",1367,416,2008,12,20,"10:35:00","2008-12-20","MBA6364803"
"2008-12-20 11:02:00","Pine Marten",1367,416,2008,12,20,"11:02:00","2008-12-20","MBA6364803"
"2008-12-20 11:02:00","Pine Marten",1367,416,2008,12,20,"11:02:00","2008-12-20","MBA6364803"
"2008-12-20 11:46:00","Pine Marten",1367,416,2008,12,20,"11:46:00","2008-12-20","MBA6364803"
"2008-12-20 11:46:00","Pine Marten",1367,416,2008,12,20,"11:46:00","2008-12-20","MBA6364803"
"2008-12-20 12:14:00","Pine Marten",1367,416,2008,12,20,"12:14:00","2008-12-20","MBA6364803"
"2008-12-20 12:14:00","Pine Marten",1367,416,2008,12,20,"12:14:00","2008-12-20","MBA6364803"
"2008-12-20 12:53:00","Pine Marten",1367,416,2008,12,20,"12:53:00","2008-12-20","MBA6364803"
"2008-12-20 12:53:00","Pine Marten",1367,416,2008,12,20,"12:53:00","2008-12-20","MBA6364803"
"2008-12-21 09:07:00","Pine Marten",1367,416,2008,12,21,"09:07:00","2008-12-21","MBA6364803"
"2008-12-21 09:07:00","Pine Marten",1367,416,2008,12,21,"09:07:00","2008-12-21","MBA6364803"
"2008-12-21 09:56:00","Pine Marten",1367,416,2008,12,21,"09:56:00","2008-12-21","MBA6364803"
"2008-12-21 09:56:00","Pine Marten",1367,416,2008,12,21,"09:56:00","2008-12-21","MBA6364803"
"2008-12-21 10:16:00","Skyliner",1306,398,2008,12,21,"10:16:00","2008-12-21","MBA6364803"
"2008-12-21 10:16:00","Skyliner",1306,398,2008,12,21,"10:16:00","2008-12-21","MBA6364803"
"2008-12-21 10:32:00","Skyliner",1306,398,2008,12,21,"10:32:00","2008-12-21","MBA6364803"
"2008-12-21 10:32:00","Skyliner",1306,398,2008,12,21,"10:32:00","2008-12-21","MBA6364803"
"2008-12-22 11:10:00","Pine Marten",1367,416,2008,12,22,"11:10:00","2008-12-22","MBA6364803"
"2008-12-22 11:10:00","Pine Marten",1367,416,2008,12,22,"11:10:00","2008-12-22","MBA6364803"
"2008-12-22 12:24:00","Pine Marten",1367,416,2008,12,22,"12:24:00","2008-12-22","MBA6364803"
"2008-12-22 12:24:00","Pine Marten",1367,416,2008,12,22,"12:24:00","2008-12-22","MBA6364803"
"2008-12-22 12:43:00","Pine Marten",1367,416,2008,12,22,"12:43:00","2008-12-22","MBA6364803"
"2008-12-22 12:43:00","Pine Marten",1367,416,2008,12,22,"12:43:00","2008-12-22","MBA6364803"
"2008-12-22 13:09:00","Pine Marten",1367,416,2008,12,22,"13:09:00","2008-12-22","MBA6364803"
"2008-12-22 13:09:00","Pine Marten",1367,416,2008,12,22,"13:09:00","2008-12-22","MBA6364803"
"2008-12-23 08:58:00","Pine Marten",1367,416,2008,12,23,"08:58:00","2008-12-23","MBA6364803"
"2008-12-23 08:58:00","Pine Marten",1367,416,2008,12,23,"08:58:00","2008-12-23","MBA6364803"
"2008-12-23 09:11:00","Pine Marten",1367,416,2008,12,23,"09:11:00","2008-12-23","MBA6364803"
"2008-12-23 09:11:00","Pine Marten",1367,416,2008,12,23,"09:11:00","2008-12-23","MBA6364803"
"2008-12-23 09:23:00","Pine Marten",1367,416,2008,12,23,"09:23:00","2008-12-23","MBA6364803"
"2008-12-23 09:23:00","Pine Marten",1367,416,2008,12,23,"09:23:00","2008-12-23","MBA6364803"
"2008-12-23 09:57:00","Pine Marten",1367,416,2008,12,23,"09:57:00","2008-12-23","MBA6364803"
"2008-12-23 09:57:00","Pine Marten",1367,416,2008,12,23,"09:57:00","2008-12-23","MBA6364803"
"2008-12-23 10:15:00","Pine Marten",1367,416,2008,12,23,"10:15:00","2008-12-23","MBA6364803"
"2008-12-23 10:15:00","Pine Marten",1367,416,2008,12,23,"10:15:00","2008-12-23","MBA6364803"
"2008-12-23 10:36:00","Pine Marten",1367,416,2008,12,23,"10:36:00","2008-12-23","MBA6364803"
"2008-12-23 10:36:00","Pine Marten",1367,416,2008,12,23,"10:36:00","2008-12-23","MBA6364803"
"2008-12-23 10:56:00","Pine Marten",1367,416,2008,12,23,"10:56:00","2008-12-23","MBA6364803"
"2008-12-23 10:56:00","Pine Marten",1367,416,2008,12,23,"10:56:00","2008-12-23","MBA6364803"
"2008-12-23 11:49:00","Pine Marten",1367,416,2008,12,23,"11:49:00","2008-12-23","MBA6364803"
"2008-12-23 11:49:00","Pine Marten",1367,416,2008,12,23,"11:49:00","2008-12-23","MBA6364803"
"2008-12-23 12:20:00","Skyliner",1306,398,2008,12,23,"12:20:00","2008-12-23","MBA6364803"
"2008-12-23 12:20:00","Skyliner",1306,398,2008,12,23,"12:20:00","2008-12-23","MBA6364803"
"2008-12-23 12:36:00","Pine Marten",1367,416,2008,12,23,"12:36:00","2008-12-23","MBA6364803"
"2008-12-23 12:36:00","Pine Marten",1367,416,2008,12,23,"12:36:00","2008-12-23","MBA6364803"
"2008-12-24 11:02:00","Pine Marten",1367,416,2008,12,24,"11:02:00","2008-12-24","MBA6364803"
"2008-12-24 11:02:00","Pine Marten",1367,416,2008,12,24,"11:02:00","2008-12-24","MBA6364803"
"2008-12-24 11:23:00","Outback",1780,542,2008,12,24,"11:23:00","2008-12-24","MBA6364803"
"2008-12-24 11:23:00","Outback",1780,542,2008,12,24,"11:23:00","2008-12-24","MBA6364803"
"2008-12-24 11:44:00","Outback",1780,542,2008,12,24,"11:44:00","2008-12-24","MBA6364803"
"2008-12-24 11:44:00","Outback",1780,542,2008,12,24,"11:44:00","2008-12-24","MBA6364803"
"2008-12-24 12:12:00","Pine Marten",1367,416,2008,12,24,"12:12:00","2008-12-24","MBA6364803"
"2008-12-24 12:12:00","Pine Marten",1367,416,2008,12,24,"12:12:00","2008-12-24","MBA6364803"
"2008-12-24 12:29:00","Pine Marten",1367,416,2008,12,24,"12:29:00","2008-12-24","MBA6364803"
"2008-12-24 12:29:00","Pine Marten",1367,416,2008,12,24,"12:29:00","2008-12-24","MBA6364803"
"2008-12-24 12:44:00","Pine Marten",1367,416,2008,12,24,"12:44:00","2008-12-24","MBA6364803"
"2008-12-24 12:44:00","Pine Marten",1367,416,2008,12,24,"12:44:00","2008-12-24","MBA6364803"
"2008-12-25 10:26:00","Pine Marten",1367,416,2008,12,25,"10:26:00","2008-12-25","MBA6364803"
"2008-12-25 10:26:00","Pine Marten",1367,416,2008,12,25,"10:26:00","2008-12-25","MBA6364803"
"2008-12-25 10:44:00","Outback",1780,542,2008,12,25,"10:44:00","2008-12-25","MBA6364803"
"2008-12-25 10:44:00","Outback",1780,542,2008,12,25,"10:44:00","2008-12-25","MBA6364803"
"2008-12-25 11:12:00","Outback",1780,542,2008,12,25,"11:12:00","2008-12-25","MBA6364803"
"2008-12-25 11:12:00","Outback",1780,542,2008,12,25,"11:12:00","2008-12-25","MBA6364803"
"2008-12-25 11:37:00","Pine Marten",1367,416,2008,12,25,"11:37:00","2008-12-25","MBA6364803"
"2008-12-25 11:37:00","Pine Marten",1367,416,2008,12,25,"11:37:00","2008-12-25","MBA6364803"
"2008-12-25 12:17:00","Pine Marten",1367,416,2008,12,25,"12:17:00","2008-12-25","MBA6364803"
"2008-12-25 12:17:00","Pine Marten",1367,416,2008,12,25,"12:17:00","2008-12-25","MBA6364803"
"2008-12-25 12:37:00","Pine Marten",1367,416,2008,12,25,"12:37:00","2008-12-25","MBA6364803"
"2008-12-25 12:37:00","Pine Marten",1367,416,2008,12,25,"12:37:00","2008-12-25","MBA6364803"
"2008-12-26 08:43:00","Pine Marten",1367,416,2008,12,26,"08:43:00","2008-12-26","MBA6364803"
"2008-12-26 08:43:00","Pine Marten",1367,416,2008,12,26,"08:43:00","2008-12-26","MBA6364803"
"2008-12-26 09:05:00","Pine Marten",1367,416,2008,12,26,"09:05:00","2008-12-26","MBA6364803"
"2008-12-26 09:05:00","Pine Marten",1367,416,2008,12,26,"09:05:00","2008-12-26","MBA6364803"
"2008-12-26 09:25:00","Pine Marten",1367,416,2008,12,26,"09:25:00","2008-12-26","MBA6364803"
"2008-12-26 09:25:00","Pine Marten",1367,416,2008,12,26,"09:25:00","2008-12-26","MBA6364803"
"2008-12-26 09:51:00","Outback",1780,542,2008,12,26,"09:51:00","2008-12-26","MBA6364803"
"2008-12-26 09:51:00","Outback",1780,542,2008,12,26,"09:51:00","2008-12-26","MBA6364803"
"2008-12-26 10:17:00","Outback",1780,542,2008,12,26,"10:17:00","2008-12-26","MBA6364803"
"2008-12-26 10:17:00","Outback",1780,542,2008,12,26,"10:17:00","2008-12-26","MBA6364803"
"2008-12-26 10:39:00","Outback",1780,542,2008,12,26,"10:39:00","2008-12-26","MBA6364803"
"2008-12-26 10:39:00","Outback",1780,542,2008,12,26,"10:39:00","2008-12-26","MBA6364803"
"2008-12-26 11:25:00","Outback",1780,542,2008,12,26,"11:25:00","2008-12-26","MBA6364803"
"2008-12-26 11:25:00","Outback",1780,542,2008,12,26,"11:25:00","2008-12-26","MBA6364803"
"2008-12-26 11:54:00","Outback",1780,542,2008,12,26,"11:54:00","2008-12-26","MBA6364803"
"2008-12-26 11:54:00","Outback",1780,542,2008,12,26,"11:54:00","2008-12-26","MBA6364803"
"2008-12-26 12:19:00","Outback",1780,542,2008,12,26,"12:19:00","2008-12-26","MBA6364803"
"2008-12-26 12:19:00","Outback",1780,542,2008,12,26,"12:19:00","2008-12-26","MBA6364803"
"2008-12-26 12:44:00","Outback",1780,542,2008,12,26,"12:44:00","2008-12-26","MBA6364803"
"2008-12-26 12:44:00","Outback",1780,542,2008,12,26,"12:44:00","2008-12-26","MBA6364803"
"2008-12-26 13:13:00","Outback",1780,542,2008,12,26,"13:13:00","2008-12-26","MBA6364803"
"2008-12-26 13:13:00","Outback",1780,542,2008,12,26,"13:13:00","2008-12-26","MBA6364803"
"2008-12-30 08:32:00","Pine Marten",1367,416,2008,12,30,"08:32:00","2008-12-30","MBA6364803"
"2008-12-30 08:32:00","Pine Marten",1367,416,2008,12,30,"08:32:00","2008-12-30","MBA6364803"
"2008-12-30 08:57:00","Pine Marten",1367,416,2008,12,30,"08:57:00","2008-12-30","MBA6364803"
"2008-12-30 08:57:00","Pine Marten",1367,416,2008,12,30,"08:57:00","2008-12-30","MBA6364803"
"2008-12-30 09:21:00","Pine Marten",1367,416,2008,12,30,"09:21:00","2008-12-30","MBA6364803"
